日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260603,6122,48.35,49.0,47.55,48.65,353377,17077878,338,0,0,353377
20260604,6122,48.65,48.65,48.05,48.35,216053,10470396,214,0,0,216053
20260605,6122,48.0,49.0,48.0,49.0,397806,9657097,101,96000,104000,397806
20260608,6122,48.35,48.8,47.95,48.6,205406,9934522,207,0,0,205406
20260608,6122,47.0,48.0,46.0,48.0,330000,15840000,92,195000,135000,330000
20260609,6122,45.2,48.2,45.2,47.7,335430,15697950,265,0,0,335430
20260609,6122,0.0,0.0,0.0,0.0,0,0,0,0,0,0
20260610,6122,48.35,48.35,47.7,47.8,173399,8323267,188,0,0,173399
20260611,6122,48.0,48.5,47.8,47.8,171606,8251344,193,0,0,171606
