日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260603,8936,52.5,54.8,52.2,54.7,5534477,296371913,3115,0,0,5534477
20260604,8936,55.5,60.1,55.2,60.1,21554366,1246252039,12129,0,0,21554366
20260605,8936,60.0,63.0,57.0,63.0,99305713,3043043920,12025,23907000,26281000,99305713
20260608,8936,59.5,63.0,57.2,62.8,50625166,3069809659,28500,0,0,50625166
20260608,8936,59.0,59.0,57.0,58.0,12177000,706266000,2486,6729000,5448000,12177000
20260609,8936,57.3,59.3,57.0,57.7,12328102,717055176,9427,0,0,12328102
