日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260603,6123,46.0,46.25,45.65,46.25,200311,9221295,190,0,0,200311
20260604,6123,46.3,47.9,46.05,47.3,305296,14276008,389,0,0,305296
20260605,6123,48.0,48.0,46.0,47.0,341837,8109284,88,132000,40000,341837
20260608,6123,47.35,48.15,46.5,46.7,173800,8185598,191,0,0,173800
20260608,6123,45.0,46.0,45.0,46.0,119000,5474000,52,63000,56000,119000
20260609,6123,45.8,45.8,44.65,45.6,121685,5495469,148,0,0,121685
