timestamp,stock_id,deal_volume,deal_amount,open_price,high_price,low_price,close_price,price_diff,trade_count,estimated_day_volume,pct_of_yesterday_avg,total_in_volume,total_out_volume,buy_prices,buy_volumes,sell_prices,sell_volumes,byIndexFlag,extra_data
20260515 09:38:15,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[46, 257, 314, 272, 656]","[22950000, 23000000, 23050000, 23100000, 23150000]","[152, 807, 247, 487, 490]",50,{}
20260515 09:38:20,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[42, 255, 316, 272, 656]","[22950000, 23000000, 23050000, 23100000, 23150000]","[152, 807, 249, 487, 490]",50,{}
20260515 09:38:25,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[42, 255, 316, 271, 656]","[22950000, 23000000, 23050000, 23100000, 23150000]","[150, 807, 249, 487, 490]",50,{}
20260515 09:38:30,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[45, 301, 317, 271, 654]","[22950000, 23000000, 23050000, 23100000, 23150000]","[148, 807, 249, 487, 491]",50,{}
20260515 09:38:35,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[51, 301, 318, 280, 654]","[22950000, 23000000, 23050000, 23100000, 23150000]","[152, 810, 249, 500, 491]",50,{}
20260515 09:38:40,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[56, 303, 320, 277, 659]","[22950000, 23000000, 23050000, 23100000, 23150000]","[152, 811, 249, 500, 490]",50,{}
20260515 09:38:45,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[66, 304, 321, 276, 659]","[22950000, 23000000, 23050000, 23100000, 23150000]","[150, 814, 249, 500, 490]",50,{}
20260515 09:38:50,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[70, 303, 322, 276, 659]","[22950000, 23000000, 23050000, 23100000, 23150000]","[153, 811, 250, 500, 492]",50,{}
20260515 09:38:55,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[76, 308, 320, 268, 659]","[22950000, 23000000, 23050000, 23100000, 23150000]","[155, 812, 249, 500, 494]",50,{}
20260515 09:39:00,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[78, 309, 321, 269, 658]","[22950000, 23000000, 23050000, 23100000, 23150000]","[156, 811, 248, 501, 494]",50,{}
20260515 09:39:05,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[76, 310, 321, 277, 656]","[22950000, 23000000, 23050000, 23100000, 23150000]","[155, 813, 249, 502, 492]",50,{}
20260515 09:39:10,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[77, 310, 319, 277, 656]","[22950000, 23000000, 23050000, 23100000, 23150000]","[155, 814, 249, 501, 492]",50,{}
20260515 09:39:15,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[87, 309, 320, 278, 655]","[22950000, 23000000, 23050000, 23100000, 23150000]","[153, 813, 250, 501, 493]",50,{}
20260515 09:39:20,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[92, 309, 320, 278, 655]","[22950000, 23000000, 23050000, 23100000, 23150000]","[154, 809, 251, 511, 495]",50,{}
20260515 09:39:25,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[94, 309, 320, 278, 655]","[22950000, 23000000, 23050000, 23100000, 23150000]","[155, 813, 250, 512, 495]",50,{}
20260515 09:39:30,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[91, 310, 331, 281, 654]","[22950000, 23000000, 23050000, 23100000, 23150000]","[155, 815, 250, 511, 495]",50,{}
20260515 09:39:35,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[94, 309, 333, 291, 654]","[22950000, 23000000, 23050000, 23100000, 23150000]","[155, 816, 250, 511, 496]",50,{}
20260515 09:39:40,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[104, 319, 336, 291, 654]","[22950000, 23000000, 23050000, 23100000, 23150000]","[157, 815, 250, 513, 496]",50,{}
20260515 09:39:45,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[103, 319, 335, 293, 655]","[22950000, 23000000, 23050000, 23100000, 23150000]","[160, 816, 250, 513, 498]",50,{}
20260515 09:39:50,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[107, 318, 335, 294, 657]","[22950000, 23000000, 23050000, 23100000, 23150000]","[161, 816, 251, 512, 499]",50,{}
20260515 09:39:55,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[106, 322, 335, 274, 655]","[22950000, 23000000, 23050000, 23100000, 23150000]","[163, 817, 251, 512, 501]",50,{}
20260515 09:40:00,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[108, 321, 338, 274, 655]","[22950000, 23000000, 23050000, 23100000, 23150000]","[161, 818, 252, 502, 501]",50,{}
20260515 09:40:05,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[114, 318, 339, 285, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[179, 826, 251, 502, 501]",50,{}
20260515 09:40:10,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[114, 320, 340, 275, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[180, 821, 250, 502, 501]",50,{}
20260515 09:40:15,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[117, 319, 340, 275, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[180, 824, 251, 504, 500]",50,{}
20260515 09:40:20,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[114, 319, 339, 277, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[183, 827, 252, 504, 500]",50,{}
20260515 09:40:25,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[116, 321, 341, 275, 660]","[22950000, 23000000, 23050000, 23100000, 23150000]","[184, 829, 252, 504, 501]",50,{}
20260515 09:40:30,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[121, 322, 341, 276, 661]","[22950000, 23000000, 23050000, 23100000, 23150000]","[182, 827, 252, 504, 502]",50,{}
20260515 09:40:35,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[154, 322, 343, 286, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[182, 771, 222, 502, 503]",50,{}
20260515 09:40:40,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[162, 323, 344, 286, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[180, 828, 253, 504, 505]",50,{}
